                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.64377,                0.49035,                 1.0192,                0.94813,                0.98353,                0.99096,                0.83582,                0.59602,                0.36679,                0.96247,             0.00038375,             0.00038375,             0.00038375
                     37,                0.63749,                0.47546,                 1.0177,                0.95709,                0.97939,                0.99433,                0.84336,                0.58274,                0.37105,                0.96028,               0.000359,               0.000359,               0.000359
                     38,                0.62508,                0.48612,                 1.0085,                0.98245,                0.99465,                0.99486,                0.85272,                0.56379,                0.34203,                 0.9437,             0.00033425,             0.00033425,             0.00033425
                     39,                0.63917,                0.46225,                 1.0214,                0.98221,                0.96978,                0.99343,                0.86237,                0.55644,                0.34611,                0.93706,              0.0003095,              0.0003095,              0.0003095
                     40,                0.60241,                0.42777,                  1.002,                0.98972,                0.99155,                0.99462,                0.86826,                0.55067,                0.32482,                0.93992,             0.00028475,             0.00028475,             0.00028475
                     41,                0.58072,                0.38885,                 0.9615,                0.97601,                0.99417,                0.99404,                0.85702,                0.54678,                0.33623,                0.93184,                0.00026,                0.00026,                0.00026
                     42,                0.57122,                0.36933,                0.95523,                0.99121,                0.99287,                0.99485,                0.85765,                0.54661,                0.32938,                 0.9376,             0.00023525,             0.00023525,             0.00023525
                     43,                0.57361,                 0.3594,                 0.9742,                0.99522,                 0.9911,                0.99479,                0.86553,                0.53345,                0.31632,                0.92837,              0.0002105,              0.0002105,              0.0002105
                     44,                 0.5573,                0.35159,                0.95258,                0.99662,                0.99133,                0.99494,                0.86998,                0.51683,                 0.3063,                0.91794,             0.00018575,             0.00018575,             0.00018575
                     45,                0.54929,                 0.3521,                0.95016,                0.99469,                0.99588,                0.99494,                0.87971,                0.50424,                0.30504,                0.90681,               0.000161,               0.000161,               0.000161
                     46,                 0.5294,                0.33523,                0.94107,                 0.9953,                0.99777,                0.99496,                0.88806,                0.49146,                0.29144,                0.90622,             0.00013625,             0.00013625,             0.00013625
                     47,                 0.5244,                0.32456,                0.92342,                0.99482,                0.99667,                0.99499,                0.88385,                0.48646,                0.28852,                0.90375,              0.0001115,              0.0001115,              0.0001115
                     48,                0.51371,                0.32329,                0.92185,                0.99545,                0.99719,                0.99496,                0.88913,                0.47912,                0.28257,                0.90068,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.50359,                 0.3072,                0.92277,                0.99757,                0.99788,                  0.995,                0.89037,                0.47454,                0.27792,                0.89617,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.49151,                0.30462,                0.91646,                0.99527,                0.99785,                0.99491,                0.89394,                0.46886,                0.27478,                0.89311,              3.725e-05,              3.725e-05,              3.725e-05
