                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86111,                 2.1073,                 1.1691,                0.48443,                0.36182,                 0.3738,                0.27223,                 1.1385,                 3.2229,                 1.6153,              0.0004065,              0.0004065,              0.0004065
                      2,                 0.9241,                 1.3172,                 1.2036,                0.22108,                0.52673,                0.25315,                0.17151,                 1.0664,                 18.322,                 1.4231,             0.00055152,             0.00055152,             0.00055152
                      3,                0.87769,                 1.0386,                 1.1709,                0.75557,                 0.6862,                 0.7508,                0.57458,                0.83548,                 1.4819,                 1.1857,             0.00042154,             0.00042154,             0.00042154
