                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67703,                  5.062,                 1.0324,                0.97387,                0.66667,                0.66583,                0.61608,                 0.4796,                 3.6107,                0.93548,                      0,                      0,                      0
                      2,                0.45486,                 3.8754,                0.97581,                0.97562,                0.66667,                0.66752,                0.61692,                0.45129,                 3.2754,                0.93126,             9.5743e-06,             9.5743e-06,             9.5743e-06
                      3,                0.46882,                 4.5158,                 1.0596,                0.97712,                0.66667,                0.66774,                0.61705,                0.40216,                 3.0206,                0.90955,             9.7172e-06,             9.7172e-06,             9.7172e-06
